order_id,user_id,order_time,pay_time,province,city,channel,order_status,total_amount,discount_amount,pay_amount
O2025090700000030,U010031,2025-09-07 10:53:39,2025-09-07 11:00:39,浙江省,杭州,PC,已退款,164.61,8.92,35.18
O2026010200000031,U002398,2026-01-02 12:43:51,2026-01-02 12:49:51,广东省,东莞,PC,已完成,182.02,0.00,182.02
O2025053100000032,U011750,2025-05-31 13:04:35,2025-05-31 13:34:35,广东省,佛山,小程序,已退款,1508.06,76.48,381.22
O2025052300000033,U006993,2025-05-23 21:52:00,2025-05-23 22:10:00,浙江省,宁波,小程序,已支付,697.54,10.46,687.08
O2025122900000034,U002455,2025-12-29 21:21:53,2025-12-29 21:51:53,山东省,潍坊,自然流量,已支付,3083.97,92.52,2991.45
O2025033000000035,U009330,2025-03-30 13:47:08,2025-03-30 14:05:08,江苏省,南通,PC,已支付,939.51,46.71,892.80
O2025112900000036,U002292,2025-11-29 08:09:19,,湖北省,襄阳,小程序,已取消,3092.58,207.31,0.00
O2026012300000037,U007672,2026-01-23 21:52:27,2026-01-23 22:11:27,江苏省,苏州,搜索广告,已支付,128.44,1.28,127.16
O2025091700000038,U010949,2025-09-17 11:30:50,2025-09-17 11:43:50,湖南省,常德,小程序,已完成,10017.20,601.03,9416.17
O2025121700000039,U008032,2025-12-17 11:14:55,2025-12-17 11:24:55,重庆市,重庆,直播间,已完成,1635.67,185.64,1450.03
O2025050100000040,U010388,2025-05-01 20:28:42,,广东省,深圳,APP,已取消,1778.84,285.97,0.00
O2026021400000041,U009141,2026-02-14 22:27:25,2026-02-14 22:30:25,河南省,新乡,自然流量,已支付,1167.87,232.53,935.34
O2025102800000042,U006391,2025-10-28 12:58:22,2025-10-28 13:02:22,湖南省,常德,APP,已完成,354.66,3.55,351.11
O2025101000000043,U011325,2025-10-10 22:59:29,2025-10-10 23:03:29,四川省,德阳,APP,已支付,1208.60,36.26,1172.34
O2026052300000044,U009099,2026-05-23 20:44:50,2026-05-23 21:12:50,福建省,福州,APP,已支付,1053.75,69.53,984.22
O2025032100000045,U007948,2025-03-21 22:28:18,2025-03-21 22:38:18,福建省,福州,搜索广告,已支付,286.39,5.73,280.66
O2025020900000046,U004960,2025-02-09 20:27:43,2025-02-09 20:43:43,四川省,宜宾,小程序,已支付,1434.74,98.24,1336.50
O2025102800000047,U001292,2025-10-28 20:03:38,2025-10-28 20:30:38,江苏省,南京,小程序,已支付,1033.71,41.35,992.36
O2025112700000048,U003818,2025-11-27 23:45:00,2025-11-28 00:11:00,江苏省,南通,直播间,已支付,113.94,3.09,110.85
O2026020100000049,U009169,2026-02-01 11:14:35,2026-02-01 11:15:35,北京市,北京,直播间,已支付,195.99,14.36,181.63
O2025011500000050,U002357,2025-01-15 21:57:53,,北京市,北京,小程序,已取消,8751.90,350.08,0.00
O2025042100000051,U004851,2025-04-21 22:46:09,2025-04-21 22:56:09,北京市,北京,小程序,已支付,2837.84,85.14,2752.70
O2025051000000052,U004866,2025-05-10 21:21:05,2025-05-10 21:31:05,广东省,广州,PC,已支付,1396.67,56.88,1339.79
O2025100100000053,U001507,2025-10-01 20:06:05,2025-10-01 20:10:05,重庆市,重庆,小程序,已支付,661.36,125.40,535.96
O2026041800000054,U000671,2026-04-18 23:42:14,2026-04-19 00:06:14,河北省,廊坊,直播间,已支付,80.25,4.84,75.41
O2025052100000055,U001304,2025-05-21 11:14:40,2025-05-21 11:32:40,广东省,东莞,APP,已完成,809.64,20.24,789.40
O2026010100000056,U008889,2026-01-01 11:35:43,2026-01-01 11:54:43,北京市,北京,APP,已支付,685.86,69.12,616.74
O2025100900000057,U007407,2025-10-09 15:13:31,2025-10-09 15:32:31,广东省,深圳,PC,已支付,210.99,0.00,210.99
O2025011000000058,U008943,2025-01-10 12:54:29,2025-01-10 13:14:29,浙江省,温州,小程序,已支付,1858.00,55.74,1802.26
O2026022400000059,U003700,2026-02-24 11:50:45,2026-02-24 12:09:45,浙江省,嘉兴,小程序,已支付,21873.27,656.20,21217.07
O2026041700000060,U002770,2026-04-17 22:02:34,2026-04-17 22:30:34,重庆市,重庆,搜索广告,已支付,1107.10,33.21,1073.89
O2025032500000061,U009363,2025-03-25 20:14:44,2025-03-25 20:38:44,湖北省,襄阳,小程序,已支付,2187.71,87.51,2100.20
O2025100100000062,U000965,2025-10-01 08:46:35,,浙江省,温州,自然流量,已取消,829.36,152.27,0.00
O2026011800000063,U008058,2026-01-18 11:23:23,2026-01-18 11:35:23,浙江省,温州,小程序,已支付,3318.52,276.38,3042.14
O2026061800000064,U007757,2026-06-18 13:16:07,2026-06-18 13:19:07,河南省,洛阳,APP,已支付,548.80,92.86,455.94
O2026050400000065,U009062,2026-05-04 10:12:44,2026-05-04 10:29:44,广东省,深圳,APP,已完成,198.32,0.00,198.32
O2025041300000066,U009439,2025-04-13 01:23:34,2025-04-13 01:38:34,山东省,临沂,APP,已支付,502.87,16.25,486.62
O2026042200000067,U004918,2026-04-22 22:17:33,2026-04-22 22:38:33,广东省,珠海,APP,已支付,508.80,17.81,490.99
O2026032100000068,U002875,2026-03-21 22:46:37,2026-03-21 23:15:37,山东省,临沂,APP,已支付,1192.06,82.10,1109.96
O2025042800000069,U004165,2025-04-28 21:17:05,2025-04-28 21:46:05,湖北省,荆州,自然流量,已完成,350.50,0.00,350.50
O2025051400000070,U002663,2025-05-14 20:02:28,2025-05-14 20:29:28,四川省,绵阳,PC,已支付,517.82,7.77,510.05
O2025121700000071,U009711,2025-12-17 22:49:26,2025-12-17 23:02:26,重庆市,重庆,PC,已支付,186.39,0.00,186.39
O2025042500000072,U003118,2025-04-25 11:00:59,2025-04-25 11:20:59,河南省,郑州,搜索广告,已完成,122.78,0.00,122.78
O2025070900000073,U004849,2025-07-09 11:01:15,2025-07-09 11:23:15,江苏省,无锡,搜索广告,已支付,716.50,10.75,705.75
O2025061900000074,U009148,2025-06-19 21:12:10,2025-06-19 21:25:10,浙江省,温州,小程序,已支付,597.02,8.96,588.06
O2025051600000075,U009226,2025-05-16 22:25:39,2025-05-16 22:47:39,上海市,上海,小程序,已支付,2155.87,64.68,2091.19
O2025020200000076,U003363,2025-02-02 12:45:53,2025-02-02 12:46:53,江苏省,苏州,APP,已支付,131.68,4.49,127.19
O2025091300000077,U005760,2025-09-13 22:50:18,2025-09-13 23:10:18,江苏省,常州,APP,已支付,2140.70,159.21,1981.49
O2025010300000078,U008918,2025-01-03 22:15:52,2025-01-03 22:43:52,江苏省,苏州,APP,已支付,652.89,9.79,643.10
O2026031500000079,U010203,2026-03-15 20:50:34,2026-03-15 21:19:34,湖南省,衡阳,APP,已支付,4086.84,172.00,3914.84
O2025122000000080,U003063,2025-12-20 10:27:20,2025-12-20 10:46:20,山东省,临沂,PC,已完成,3827.09,243.49,3583.60
O2026060100000081,U011682,2026-06-01 21:05:41,2026-06-01 21:33:41,浙江省,温州,APP,已支付,226.96,0.00,226.96
O2026011200000082,U008766,2026-01-12 10:03:32,2026-01-12 10:31:32,广东省,珠海,APP,已支付,321.59,6.43,315.16
O2025030800000083,U003193,2025-03-08 12:01:39,2025-03-08 12:31:39,四川省,成都,小程序,已支付,27.23,1.88,25.35
O2025010500000084,U010685,2025-01-05 12:46:47,2025-01-05 13:13:47,上海市,上海,APP,已支付,558.61,30.28,528.33
O2025122400000085,U009347,2025-12-24 12:09:37,2025-12-24 12:26:37,山东省,潍坊,小程序,已支付,1790.19,53.71,1736.48
O2025012200000086,U005697,2025-01-22 21:33:48,2025-01-22 22:02:48,广东省,东莞,APP,已完成,355.09,0.00,355.09
O2025060700000087,U005897,2025-06-07 13:49:53,2025-06-07 14:18:53,广东省,广州,直播间,已支付,2482.46,225.72,2256.74
O2025062300000088,U007092,2025-06-23 22:41:22,2025-06-23 23:10:22,广东省,广州,小程序,已完成,4954.42,247.72,4706.70
O2025060700000089,U000309,2025-06-07 11:47:19,2025-06-07 12:09:19,山东省,青岛,直播间,已支付,281.33,17.15,264.18
O2026031500000090,U011824,2026-03-15 20:11:04,2026-03-15 20:30:04,北京市,北京,PC,已支付,206.85,6.47,200.38
O2025060500000091,U010777,2025-06-05 10:45:20,2025-06-05 11:10:20,四川省,德阳,APP,已支付,1092.97,32.79,1060.18
O2025052500000092,U001873,2025-05-25 09:22:06,2025-05-25 09:31:06,河北省,石家庄,小程序,已支付,2799.10,233.92,2565.18
O2025121400000093,U004839,2025-12-14 22:25:10,2025-12-14 22:48:10,江苏省,无锡,搜索广告,已支付,67.50,1.49,66.01
O2025041500000094,U008235,2025-04-15 12:32:57,2025-04-15 12:42:57,山东省,临沂,直播间,已完成,3641.65,277.17,3364.48
O2025031200000095,U006843,2025-03-12 20:52:34,2025-03-12 21:20:34,浙江省,杭州,APP,已支付,1320.91,52.84,1268.07
O2026030500000096,U009201,2026-03-05 22:50:57,2026-03-05 23:06:57,浙江省,宁波,APP,已支付,937.48,14.06,923.42
O2025072000000097,U007312,2025-07-20 21:12:39,2025-07-20 21:21:39,河南省,许昌,APP,已支付,1628.58,105.90,1522.68
O2026012400000098,U005169,2026-01-24 20:11:04,2026-01-24 20:32:04,广东省,东莞,小程序,已支付,2688.94,137.83,2551.11
O2025042600000099,U004358,2025-04-26 08:45:16,2025-04-26 09:14:16,河南省,许昌,小程序,已支付,629.82,26.36,603.46
O2025052300000100,U008286,2025-05-23 22:48:28,2025-05-23 22:59:28,湖南省,常德,PC,已完成,462.76,4.63,458.13
O2025030100000101,U001144,2025-03-01 21:31:45,2025-03-01 21:43:45,广东省,珠海,PC,已完成,6233.69,501.16,5732.53
O2025050300000102,U002213,2025-05-03 20:07:15,2025-05-03 20:12:15,浙江省,绍兴,PC,已支付,1065.64,57.04,1008.60
O2025090300000103,U011939,2025-09-03 16:54:17,2025-09-03 17:02:17,广东省,深圳,APP,已支付,1926.03,57.78,1868.25
O2025072300000104,U008756,2025-07-23 20:30:53,2025-07-23 21:00:53,浙江省,温州,APP,已支付,18.41,0.00,18.41
O2025010100000105,U008953,2025-01-01 19:42:53,2025-01-01 19:57:53,广东省,佛山,小程序,已支付,4136.39,814.46,3321.93
O2025020300000106,U001894,2025-02-03 00:17:08,2025-02-03 00:28:08,江苏省,南通,PC,已支付,876.74,21.92,854.82
O2025031500000107,U004752,2025-03-15 20:33:38,2025-03-15 20:52:38,河南省,洛阳,搜索广告,已支付,2800.79,153.96,2646.83
O2025100100000108,U002037,2025-10-01 22:21:52,2025-10-01 22:30:52,广东省,东莞,APP,已退款,4829.17,902.83,989.98
O2025022400000109,U000188,2025-02-24 12:59:16,2025-02-24 13:29:16,陕西省,西安,小程序,已完成,459.12,0.00,459.12
O2026011400000110,U002848,2026-01-14 21:35:20,2026-01-14 21:48:20,广东省,深圳,APP,已完成,3815.78,190.79,3624.99
O2025090500000111,U000552,2025-09-05 22:01:02,2025-09-05 22:09:02,湖南省,衡阳,APP,已支付,1531.50,45.95,1485.55
O2025021800000112,U001976,2025-02-18 10:37:40,2025-02-18 10:49:40,河南省,许昌,PC,已支付,1112.13,44.49,1067.64
O2025030800000113,U003537,2025-03-08 13:45:46,2025-03-08 13:50:46,江苏省,苏州,PC,已支付,916.87,173.47,743.40
O2026042900000114,U011750,2026-04-29 11:40:47,,广东省,佛山,APP,已取消,238.74,0.00,0.00
O2025092000000115,U004757,2025-09-20 12:05:43,2025-09-20 12:27:43,山东省,临沂,APP,已完成,531.03,25.03,506.00
O2025051900000116,U008607,2025-05-19 14:53:32,2025-05-19 14:58:32,江苏省,常州,APP,已支付,110.84,0.00,110.84
O2026061800000117,U009604,2026-06-18 12:10:19,2026-06-18 12:29:19,广东省,广州,小程序,已支付,2178.04,266.41,1911.63
O2025050600000118,U009554,2025-05-06 13:21:06,2025-05-06 13:26:06,广东省,佛山,小程序,已完成,1543.08,77.15,1465.93
O2026032900000119,U009830,2026-03-29 01:10:14,2026-03-29 01:39:14,广东省,珠海,APP,已退款,657.48,42.65,19.25
O2025062100000120,U003463,2025-06-21 13:48:38,2025-06-21 14:08:38,浙江省,嘉兴,APP,已完成,1329.68,91.11,1238.57
O2025112100000121,U004609,2025-11-21 12:54:43,2025-11-21 13:00:43,江苏省,无锡,APP,已完成,1424.87,56.99,1367.88
O2025012100000122,U004064,2025-01-21 21:51:44,2025-01-21 22:17:44,安徽省,阜阳,PC,已支付,496.41,0.00,496.41
O2025040300000123,U002639,2025-04-03 22:59:44,2025-04-03 23:15:44,广东省,东莞,搜索广告,已完成,2188.23,87.53,2100.70
O2026041600000124,U006491,2026-04-16 08:32:53,2026-04-16 08:51:53,河北省,唐山,小程序,已支付,2138.80,85.55,2053.25
O2025040200000125,U008226,2025-04-02 21:10:22,2025-04-02 21:21:22,广东省,佛山,APP,已支付,6730.08,201.90,6528.18
O2025102800000126,U005194,2025-10-28 20:13:22,2025-10-28 20:23:22,广东省,佛山,APP,已支付,5029.47,251.47,4778.00
O2026020500000127,U006147,2026-02-05 11:36:02,2026-02-05 11:43:02,浙江省,温州,小程序,已支付,69.74,1.39,68.35
O2025021400000128,U008322,2025-02-14 15:33:52,2025-02-14 15:54:52,广东省,广州,直播间,已完成,240.63,30.92,209.71
O2025071600000129,U009918,2025-07-16 20:06:20,2025-07-16 20:33:20,山东省,临沂,APP,已支付,7273.96,290.96,6983.00
O2025030800000130,U006456,2025-03-08 21:34:04,2025-03-08 21:36:04,江苏省,常州,APP,已完成,4180.46,708.51,3471.95
O2025101200000131,U003281,2025-10-12 22:30:20,2025-10-12 22:57:20,四川省,宜宾,小程序,已完成,419.58,23.26,396.32
O2025101100000132,U004686,2025-10-11 11:35:16,2025-10-11 11:57:16,江苏省,南京,APP,已支付,497.35,11.59,485.76
O2025040200000133,U000280,2025-04-02 23:25:24,2025-04-02 23:34:24,广东省,佛山,APP,已支付,5201.14,156.03,5045.11
O2026031400000134,U011611,2026-03-14 00:01:14,,江苏省,南京,直播间,已取消,1154.31,135.83,0.00
O2026033100000135,U001497,2026-03-31 16:57:38,2026-03-31 17:07:38,广东省,深圳,小程序,已支付,450.94,0.00,450.94
O2026022500000136,U008590,2026-02-25 23:59:50,2026-02-26 00:19:50,浙江省,宁波,直播间,已完成,555.54,30.59,524.95
O2026022600000137,U004327,2026-02-26 11:23:11,2026-02-26 11:37:11,江苏省,南通,PC,已支付,991.12,14.87,976.25
O2025030600000138,U006295,2025-03-06 16:18:57,2025-03-06 16:45:57,北京市,北京,APP,已支付,426.26,0.00,426.26
O2026021200000139,U009023,2026-02-12 15:45:20,2026-02-12 15:47:20,河南省,许昌,搜索广告,已完成,637.58,9.56,628.02
O2025091500000140,U010608,2025-09-15 21:18:57,2025-09-15 21:29:57,广东省,广州,APP,已支付,52.09,0.00,52.09
O2025042300000141,U002856,2025-04-23 19:50:58,2025-04-23 20:08:58,江苏省,苏州,小程序,已支付,2335.36,93.41,2241.95
O2025021600000142,U009125,2025-02-16 12:27:58,2025-02-16 12:40:58,江苏省,南京,小程序,已支付,3418.68,213.19,3205.49
O2025082100000143,U002749,2025-08-21 21:08:19,2025-08-21 21:38:19,广东省,东莞,APP,已完成,1486.49,89.19,1397.30
O2026011200000144,U008088,2026-01-12 20:49:06,2026-01-12 21:11:06,山东省,临沂,直播间,已支付,1078.36,76.96,1001.40
O2025102200000145,U001205,2025-10-22 20:52:59,2025-10-22 21:10:59,江苏省,苏州,PC,已支付,1095.70,43.83,1051.87
O2025111800000146,U004349,2025-11-18 20:22:51,2025-11-18 20:47:51,广东省,深圳,PC,已支付,287.44,5.75,281.69
O2025040600000147,U006698,2025-04-06 21:20:10,2025-04-06 21:42:10,江苏省,南京,小程序,已支付,183.29,6.13,177.16
O2026053000000148,U010639,2026-05-30 20:38:21,2026-05-30 20:51:21,浙江省,嘉兴,小程序,已支付,48.98,2.40,46.58
O2025072800000149,U001629,2025-07-28 15:02:33,2025-07-28 15:32:33,山东省,烟台,小程序,已支付,1120.16,89.61,1030.55
O2025122000000150,U001513,2025-12-20 12:13:48,2025-12-20 12:35:48,广东省,广州,小程序,已支付,10896.33,549.28,10347.05
O2026010100000151,U000412,2026-01-01 20:14:32,2026-01-01 20:17:32,广东省,东莞,小程序,已完成,1516.98,331.26,1185.72
O2026041500000152,U001265,2026-04-15 20:08:18,2026-04-15 20:17:18,安徽省,安庆,小程序,已支付,132.14,1.32,130.82
O2026022300000153,U001483,2026-02-23 19:50:45,2026-02-23 19:54:45,福建省,漳州,APP,已支付,12192.54,609.63,11582.91
O2026060800000154,U005460,2026-06-08 17:35:58,2026-06-08 17:50:58,江苏省,南京,PC,已完成,597.82,26.90,570.92
O2026053100000155,U004537,2026-05-31 22:49:27,,广东省,深圳,APP,已取消,138.05,5.34,0.00
O2026060700000156,U006018,2026-06-07 22:09:13,2026-06-07 22:27:13,浙江省,绍兴,自然流量,已支付,1763.58,74.30,1689.28
O2025030200000157,U001286,2025-03-02 18:34:30,2025-03-02 18:50:30,北京市,北京,PC,已支付,2491.72,145.72,2346.00
O2025082500000158,U011925,2025-08-25 10:28:30,2025-08-25 10:31:30,广东省,深圳,APP,已支付,1287.41,38.62,1248.79
O2026042300000159,U011906,2026-04-23 22:02:04,2026-04-23 22:17:04,河南省,郑州,APP,已支付,75.54,0.00,75.54
O2026050100000160,U010114,2026-05-01 11:39:40,2026-05-01 12:05:40,广东省,深圳,APP,已支付,17322.76,1712.49,15610.27
O2026022400000161,U010247,2026-02-24 20:37:59,2026-02-24 20:59:59,河南省,郑州,直播间,已完成,968.75,66.15,902.60
O2026050400000162,U002009,2026-05-04 12:59:44,2026-05-04 13:22:44,河南省,南阳,APP,已支付,532.42,18.63,513.79
O2025081900000163,U001805,2025-08-19 12:08:56,2025-08-19 12:33:56,江苏省,无锡,APP,已退款,502.59,7.54,49.36
O2025080700000164,U003704,2025-08-07 11:53:24,2025-08-07 12:09:24,广东省,佛山,APP,已支付,154.50,0.00,154.50
O2026061400000165,U007856,2026-06-14 17:28:37,2026-06-14 17:43:37,湖南省,株洲,小程序,已支付,866.73,44.06,822.67
O2025032700000166,U007779,2025-03-27 11:07:00,2025-03-27 11:16:00,广东省,深圳,PC,已完成,348.39,6.97,341.42
O2025081700000167,U002111,2025-08-17 22:23:51,2025-08-17 22:53:51,四川省,成都,小程序,已完成,9373.18,615.42,8757.76
O2026020500000168,U008162,2026-02-05 14:56:13,2026-02-05 15:24:13,山东省,青岛,APP,已完成,6580.37,197.41,6382.96
O2026051600000169,U005729,2026-05-16 12:55:45,2026-05-16 12:56:45,江苏省,南京,搜索广告,已支付,1578.66,82.27,1496.39
O2026042000000170,U004402,2026-04-20 21:48:57,2026-04-20 22:13:57,浙江省,宁波,APP,已完成,3159.44,94.78,3064.66
O2025010100000171,U008670,2025-01-01 16:19:07,2025-01-01 16:24:07,安徽省,芜湖,APP,已支付,8685.81,1320.19,7365.62
O2026060700000172,U000198,2026-06-07 10:42:37,2026-06-07 10:48:37,河南省,洛阳,自然流量,已支付,999.98,45.12,954.86
O2026050100000173,U004150,2026-05-01 11:59:52,2026-05-01 12:23:52,河南省,新乡,PC,已支付,1097.13,172.81,924.32
O2025052700000174,U010029,2025-05-27 21:59:31,2025-05-27 22:11:31,江苏省,常州,直播间,已退款,3020.41,293.45,286.88
O2026061000000175,U003209,2026-06-10 17:55:26,2026-06-10 18:20:26,江苏省,常州,PC,已支付,34.92,0.00,34.92
O2026012700000176,U008583,2026-01-27 21:54:05,2026-01-27 22:12:05,上海市,上海,小程序,已支付,914.42,22.86,891.56
O2026021900000177,U011116,2026-02-19 12:40:38,2026-02-19 12:54:38,福建省,福州,小程序,已完成,298.66,0.00,298.66
O2025021900000178,U009332,2025-02-19 13:02:44,2025-02-19 13:15:44,江苏省,南通,APP,已支付,1890.81,94.54,1796.27
O2026051000000179,U004385,2026-05-10 20:21:23,2026-05-10 20:22:23,上海市,上海,APP,已支付,7298.47,454.79,6843.68
O2025010400000180,U006473,2025-01-04 20:59:55,2025-01-04 21:26:55,江苏省,常州,APP,已支付,1018.24,42.64,975.60
O2025111100000181,U003802,2025-11-11 22:14:25,2025-11-11 22:23:25,陕西省,渭南,自然流量,已支付,3542.69,559.84,2982.85
O2026053100000182,U008187,2026-05-31 22:21:23,2026-05-31 22:24:23,重庆市,重庆,直播间,已支付,9965.00,1175.20,8789.80
O2025012700000183,U009752,2025-01-27 16:38:01,2025-01-27 17:02:01,江苏省,南京,自然流量,已支付,4299.74,257.98,4041.76
O2025040100000184,U009977,2025-04-01 21:34:06,2025-04-01 21:39:06,广东省,佛山,小程序,已完成,7724.76,231.74,7493.02
O2025092700000185,U002730,2025-09-27 14:10:50,2025-09-27 14:12:50,广东省,佛山,PC,已支付,1158.63,52.69,1105.94
O2026011600000186,U005442,2026-01-16 12:04:32,2026-01-16 12:33:32,重庆市,重庆,PC,已支付,134.71,1.35,133.36
O2025062600000187,U004554,2025-06-26 20:20:50,2025-06-26 20:43:50,四川省,德阳,小程序,已支付,1257.96,50.32,1207.64
O2025050300000188,U001695,2025-05-03 18:22:00,2025-05-03 18:32:00,上海市,上海,直播间,已支付,133.49,11.22,122.27
O2026053100000189,U005891,2026-05-31 11:27:07,2026-05-31 11:49:07,重庆市,重庆,APP,已完成,88.47,3.97,84.50
O2025022700000190,U009084,2025-02-27 01:46:23,2025-02-27 02:06:23,陕西省,宝鸡,PC,已支付,1136.16,34.08,1102.08
O2025061800000191,U007714,2025-06-18 12:41:10,2025-06-18 13:08:10,北京市,北京,APP,已支付,2479.05,258.20,2220.85
O2025051000000192,U001323,2025-05-10 11:19:38,2025-05-10 11:48:38,广东省,深圳,PC,已支付,5582.46,375.63,5206.83
O2025072900000193,U009728,2025-07-29 21:48:15,2025-07-29 21:57:15,湖北省,武汉,小程序,已支付,1981.89,59.46,1922.43
O2025072900000194,U001314,2025-07-29 15:14:05,2025-07-29 15:43:05,山东省,烟台,APP,已支付,441.24,0.00,441.24
O2026040600000195,U009593,2026-04-06 22:21:31,2026-04-06 22:43:31,四川省,南充,PC,已完成,3275.95,98.28,3177.67
O2025112600000196,U011551,2025-11-26 08:49:45,2025-11-26 09:08:45,山东省,临沂,APP,已支付,162.37,0.00,162.37
O2025021400000197,U009859,2025-02-14 18:26:49,2025-02-14 18:36:49,上海市,上海,小程序,已支付,14284.63,2682.98,11601.65
O2025091600000198,U005783,2025-09-16 12:26:38,2025-09-16 12:50:38,广东省,佛山,小程序,已支付,373.22,3.73,369.49
O2026052500000199,U010466,2026-05-25 10:21:06,2026-05-25 10:48:06,河南省,新乡,APP,已支付,1156.48,34.69,1121.79
O2026050100000200,U011279,2026-05-01 21:31:27,2026-05-01 22:01:27,河南省,许昌,PC,已支付,59.15,4.31,54.84
O2025080900000201,U008632,2025-08-09 22:42:24,,江苏省,无锡,小程序,已取消,1086.90,63.28,0.00
O2026031700000202,U000063,2026-03-17 12:27:10,2026-03-17 12:35:10,广东省,东莞,APP,已支付,1816.77,54.50,1762.27
O2025013000000203,U003061,2025-01-30 22:44:34,2025-01-30 23:11:34,重庆市,重庆,PC,已支付,69.02,0.00,69.02
O2025092900000204,U007788,2025-09-29 09:37:42,2025-09-29 10:07:42,浙江省,宁波,PC,已支付,314.58,3.15,311.43
O2025070600000205,U002747,2025-07-06 20:03:27,2025-07-06 20:20:27,重庆市,重庆,小程序,已完成,599.56,35.66,563.90
O2025110900000206,U009131,2025-11-09 09:39:47,2025-11-09 10:04:47,北京市,北京,APP,已退款,4729.12,341.94,101.52
O2025011800000207,U004275,2025-01-18 17:33:24,2025-01-18 17:51:24,安徽省,合肥,搜索广告,已完成,404.09,4.57,399.52
O2026022500000208,U010065,2026-02-25 19:09:39,2026-02-25 19:20:39,浙江省,绍兴,搜索广告,已支付,2549.70,76.49,2473.21
O2025103100000209,U007257,2025-10-31 21:18:26,2025-10-31 21:46:26,四川省,德阳,APP,已完成,181.42,0.00,181.42
