item_id,order_id,product_id,category,quantity,price,amount
I0000009201,O2025052500000092,P00317,运动,2,1368.96,2737.92
I0000009202,O2025052500000092,P00292,食品,1,61.18,61.18
I0000009301,O2025121400000093,P00515,美妆,1,67.50,67.50
I0000009401,O2025041500000094,P00104,美妆,1,724.71,724.71
I0000009402,O2025041500000094,P00746,母婴,3,169.70,509.10
I0000009403,O2025041500000094,P00146,数码,1,2073.32,2073.32
I0000009404,O2025041500000094,P00044,美妆,1,334.52,334.52
I0000009501,O2025031200000095,P00438,服饰,5,239.08,1195.40
I0000009502,O2025031200000095,P00420,美妆,1,125.51,125.51
I0000009601,O2026030500000096,P00667,服饰,1,202.28,202.28
I0000009602,O2026030500000096,P00711,美妆,2,367.60,735.20
I0000009701,O2025072000000097,P00482,服饰,1,864.95,864.95
I0000009702,O2025072000000097,P00480,美妆,2,189.14,378.28
I0000009703,O2025072000000097,P00374,服饰,1,124.78,124.78
I0000009704,O2025072000000097,P00129,美妆,1,260.57,260.57
I0000009801,O2026012400000098,P00685,服饰,1,210.02,210.02
I0000009802,O2026012400000098,P00783,服饰,2,212.46,424.92
I0000009803,O2026012400000098,P00576,运动,1,1843.68,1843.68
I0000009804,O2026012400000098,P00748,母婴,2,105.16,210.32
I0000009901,O2025042600000099,P00306,母婴,2,287.94,575.88
I0000009902,O2025042600000099,P00747,食品,1,53.94,53.94
I0000010001,O2025052300000100,P00013,家居,1,462.76,462.76
I0000010101,O2025030100000101,P00329,数码,2,2426.42,4852.84
I0000010102,O2025030100000101,P00364,家电,1,1107.60,1107.60
I0000010103,O2025030100000101,P00782,家居,1,273.25,273.25
I0000010201,O2025050300000102,P00765,母婴,2,226.15,452.30
I0000010202,O2025050300000102,P00503,家电,1,613.34,613.34
I0000010301,O2025090300000103,P00225,服饰,2,111.60,223.20
I0000010302,O2025090300000103,P00668,家居,1,1154.45,1154.45
I0000010303,O2025090300000103,P00204,运动,1,548.38,548.38
I0000010401,O2025072300000104,P00159,图书,1,18.41,18.41
I0000010501,O2025010100000105,P00596,家电,1,2994.27,2994.27
I0000010502,O2025010100000105,P00282,家居,1,151.59,151.59
I0000010503,O2025010100000105,P00344,家居,1,778.63,778.63
I0000010504,O2025010100000105,P00403,美妆,2,105.95,211.90
I0000010601,O2025020300000106,P00350,美妆,2,438.37,876.74
I0000010701,O2025031500000107,P00540,数码,1,2143.18,2143.18
I0000010702,O2025031500000107,P00163,图书,1,45.59,45.59
I0000010703,O2025031500000107,P00762,家居,1,479.16,479.16
I0000010704,O2025031500000107,P00744,图书,1,132.86,132.86
I0000010801,O2025100100000108,P00607,家电,1,3028.73,3028.73
I0000010802,O2025100100000108,P00767,家居,4,450.11,1800.44
I0000010901,O2025022400000109,P00463,美妆,1,72.24,72.24
I0000010902,O2025022400000109,P00597,食品,4,96.72,386.88
I0000011001,O2026011400000110,P00221,图书,1,64.27,64.27
I0000011002,O2026011400000110,P00208,数码,1,1752.67,1752.67
I0000011003,O2026011400000110,P00378,数码,2,847.91,1695.82
I0000011004,O2026011400000110,P00200,家居,2,151.51,303.02
I0000011101,O2025090500000111,P00199,美妆,2,159.52,319.04
I0000011102,O2025090500000111,P00503,家电,2,606.23,1212.46
I0000011201,O2025021800000112,P00106,美妆,1,138.65,138.65
I0000011202,O2025021800000112,P00658,食品,3,148.67,446.01
I0000011203,O2025021800000112,P00560,服饰,1,155.17,155.17
I0000011204,O2025021800000112,P00626,食品,3,124.10,372.30
I0000011301,O2025030800000113,P00011,图书,1,134.37,134.37
I0000011302,O2025030800000113,P00197,家居,2,391.25,782.50
I0000011401,O2026042900000114,P00526,服饰,1,119.98,119.98
I0000011402,O2026042900000114,P00600,美妆,1,118.76,118.76
I0000011501,O2025092000000115,P00706,图书,1,99.75,99.75
I0000011502,O2025092000000115,P00341,家居,1,431.28,431.28
I0000011601,O2025051900000116,P00655,食品,1,27.52,27.52
I0000011602,O2025051900000116,P00798,食品,2,41.66,83.32
I0000011701,O2026061800000117,P00291,家居,1,1143.40,1143.40
I0000011702,O2026061800000117,P00395,食品,2,56.72,113.44
I0000011703,O2026061800000117,P00492,家电,2,460.60,921.20
I0000011801,O2025050600000118,P00700,家居,1,1543.08,1543.08
I0000011901,O2026032900000119,P00583,数码,1,620.56,620.56
I0000011902,O2026032900000119,P00159,图书,2,18.46,36.92
I0000012001,O2025062100000120,P00225,服饰,1,107.53,107.53
I0000012002,O2025062100000120,P00207,运动,1,1222.15,1222.15
I0000012101,O2025112100000121,P00601,食品,2,393.94,787.88
I0000012102,O2025112100000121,P00791,母婴,1,547.49,547.49
I0000012103,O2025112100000121,P00799,食品,2,44.75,89.50
I0000012201,O2025012100000122,P00766,美妆,1,496.41,496.41
I0000012301,O2025040300000123,P00236,数码,1,1989.06,1989.06
I0000012302,O2025040300000123,P00323,服饰,1,199.17,199.17
I0000012401,O2026041600000124,P00103,图书,1,26.56,26.56
I0000012402,O2026041600000124,P00146,数码,1,2112.24,2112.24
I0000012501,O2025040200000125,P00485,家电,3,2243.36,6730.08
I0000012601,O2025102800000126,P00345,家居,1,475.82,475.82
I0000012602,O2025102800000126,P00718,家电,1,3089.34,3089.34
I0000012603,O2025102800000126,P00483,数码,1,1464.31,1464.31
I0000012701,O2026020500000127,P00111,食品,1,69.74,69.74
I0000012801,O2025021400000128,P00621,图书,1,97.96,97.96
I0000012802,O2025021400000128,P00757,美妆,1,142.67,142.67
I0000012901,O2025071600000129,P00398,数码,1,7273.96,7273.96
I0000013001,O2025030800000130,P00022,图书,2,164.08,328.16
I0000013002,O2025030800000130,P00590,数码,1,3232.28,3232.28
I0000013003,O2025030800000130,P00285,运动,1,620.02,620.02
I0000013101,O2025101200000131,P00057,食品,1,15.06,15.06
I0000013102,O2025101200000131,P00544,家居,1,404.52,404.52
I0000013201,O2025101100000132,P00709,美妆,1,321.83,321.83
I0000013202,O2025101100000132,P00365,服饰,1,175.52,175.52
I0000013301,O2025040200000133,P00288,数码,1,4305.38,4305.38
I0000013302,O2025040200000133,P00767,家居,2,447.88,895.76
I0000013401,O2026031400000134,P00456,母婴,1,398.98,398.98
I0000013402,O2026031400000134,P00137,服饰,1,223.84,223.84
I0000013403,O2026031400000134,P00557,家居,1,531.49,531.49
I0000013501,O2026033100000135,P00798,食品,2,42.63,85.26
I0000013502,O2026033100000135,P00016,母婴,2,182.84,365.68
I0000013601,O2026022500000136,P00267,母婴,2,277.77,555.54
I0000013701,O2026022600000137,P00410,食品,2,81.36,162.72
I0000013702,O2026022600000137,P00211,运动,1,828.40,828.40
I0000013801,O2025030600000138,P00397,服饰,1,426.26,426.26
I0000013901,O2026021200000139,P00568,母婴,1,637.58,637.58
I0000014001,O2025091500000140,P00315,图书,1,52.09,52.09
I0000014101,O2025042300000141,P00167,数码,2,1085.82,2171.64
I0000014102,O2025042300000141,P00659,图书,1,163.72,163.72
I0000014201,O2025021600000142,P00740,数码,2,1709.34,3418.68
I0000014301,O2025082100000143,P00189,美妆,2,441.99,883.98
I0000014302,O2025082100000143,P00776,食品,1,76.54,76.54
I0000014303,O2025082100000143,P00001,服饰,1,243.55,243.55
I0000014304,O2025082100000143,P00357,食品,1,282.42,282.42
I0000014401,O2026011200000144,P00364,家电,1,1078.36,1078.36
I0000014501,O2025102200000145,P00054,母婴,5,219.14,1095.70
I0000014601,O2025111800000146,P00357,食品,1,287.44,287.44
I0000014701,O2025040600000147,P00745,食品,1,183.29,183.29
I0000014801,O2026053000000148,P00143,食品,1,48.98,48.98
I0000014901,O2025072800000149,P00051,食品,3,72.54,217.62
I0000014902,O2025072800000149,P00274,母婴,3,247.91,743.73
I0000014903,O2025072800000149,P00077,服饰,1,158.81,158.81
I0000015001,O2025122000000150,P00133,数码,2,5068.24,10136.48
I0000015002,O2025122000000150,P00431,数码,1,759.85,759.85
I0000015101,O2026010100000151,P00003,数码,2,758.49,1516.98
I0000015201,O2026041500000152,P00720,服饰,2,66.07,132.14
I0000015301,O2026022300000153,P00472,数码,1,4844.46,4844.46
I0000015302,O2026022300000153,P00305,家电,2,3674.04,7348.08
I0000015401,O2026060800000154,P00278,服饰,2,298.91,597.82
I0000015501,O2026053100000155,P00447,母婴,1,138.05,138.05
I0000015601,O2026060700000156,P00348,服饰,1,757.18,757.18
I0000015602,O2026060700000156,P00040,服饰,2,503.20,1006.40
I0000015701,O2025030200000157,P00426,家居,1,760.43,760.43
I0000015702,O2025030200000157,P00785,家电,1,1346.99,1346.99
I0000015703,O2025030200000157,P00615,食品,3,74.11,222.33
I0000015704,O2025030200000157,P00381,食品,1,161.97,161.97
I0000015801,O2025082500000158,P00674,食品,1,76.51,76.51
I0000015802,O2025082500000158,P00703,母婴,3,357.74,1073.22
I0000015803,O2025082500000158,P00676,家居,1,137.68,137.68
I0000015901,O2026042300000159,P00528,食品,1,75.54,75.54
I0000016001,O2026050100000160,P00298,数码,2,2832.95,5665.90
I0000016002,O2026050100000160,P00347,美妆,1,161.25,161.25
I0000016003,O2026050100000160,P00744,图书,1,133.13,133.13
I0000016004,O2026050100000160,P00385,数码,3,3316.85,9950.55
I0000016005,O2026050100000160,P00180,家电,1,1411.93,1411.93
I0000016101,O2026022400000161,P00639,数码,1,968.75,968.75
I0000016201,O2026050400000162,P00557,家居,1,532.42,532.42
I0000016301,O2025081900000163,P00381,食品,3,167.53,502.59
I0000016401,O2025080700000164,P00659,图书,1,154.50,154.50
I0000016501,O2026061400000165,P00445,家居,2,400.82,801.64
I0000016502,O2026061400000165,P00059,图书,1,65.09,65.09
I0000016601,O2025032700000166,P00444,美妆,1,348.39,348.39
I0000016701,O2025081700000167,P00583,数码,1,586.68,586.68
I0000016702,O2025081700000167,P00195,数码,1,7407.14,7407.14
I0000016703,O2025081700000167,P00155,家居,1,971.36,971.36
I0000016704,O2025081700000167,P00008,图书,4,102.00,408.00
I0000016801,O2026020500000168,P00507,数码,1,2934.01,2934.01
I0000016802,O2026020500000168,P00009,家电,2,1823.18,3646.36
I0000016901,O2026051600000169,P00453,服饰,1,690.35,690.35
I0000016902,O2026051600000169,P00672,运动,1,888.31,888.31
I0000017001,O2026042000000170,P00171,家居,4,789.86,3159.44
I0000017101,O2025010100000171,P00221,图书,3,64.35,193.05
I0000017102,O2025010100000171,P00743,家居,2,518.77,1037.54
I0000017103,O2025010100000171,P00038,家居,1,660.40,660.40
I0000017104,O2025010100000171,P00045,数码,3,1663.31,4989.93
I0000017105,O2025010100000171,P00503,家电,3,601.63,1804.89
I0000017201,O2026060700000172,P00725,母婴,1,838.25,838.25
I0000017202,O2026060700000172,P00210,美妆,1,161.73,161.73
I0000017301,O2026050100000173,P00073,家居,1,1097.13,1097.13
I0000017401,O2025052700000174,P00610,母婴,1,669.39,669.39
I0000017402,O2025052700000174,P00668,家居,2,1175.51,2351.02
I0000017501,O2026061000000175,P00389,食品,1,34.92,34.92
I0000017601,O2026012700000176,P00799,食品,3,46.05,138.15
I0000017602,O2026012700000176,P00544,家居,1,424.07,424.07
I0000017603,O2026012700000176,P00326,家居,1,209.74,209.74
I0000017604,O2026012700000176,P00615,食品,2,71.23,142.46
I0000017701,O2026021900000177,P00633,图书,1,298.66,298.66
I0000017801,O2025021900000178,P00171,家居,1,854.88,854.88
I0000017802,O2025021900000178,P00382,图书,1,47.99,47.99
I0000017803,O2025021900000178,P00550,家电,1,987.94,987.94
I0000017901,O2026051000000179,P00300,数码,2,3604.49,7208.98
I0000017902,O2026051000000179,P00227,图书,1,89.49,89.49
I0000018001,O2025010400000180,P00471,食品,1,300.59,300.59
I0000018002,O2025010400000180,P00570,母婴,2,250.53,501.06
I0000018003,O2025010400000180,P00054,母婴,1,216.59,216.59
I0000018101,O2025111100000181,P00707,数码,3,1104.22,3312.66
I0000018102,O2025111100000181,P00635,运动,1,230.03,230.03
I0000018201,O2026053100000182,P00678,数码,2,4982.50,9965.00
I0000018301,O2025012700000183,P00485,家电,1,2300.80,2300.80
I0000018302,O2025012700000183,P00555,家居,1,1998.94,1998.94
I0000018401,O2025040100000184,P00195,数码,1,7724.76,7724.76
I0000018501,O2025092700000185,P00612,服饰,1,509.58,509.58
I0000018502,O2025092700000185,P00566,家居,1,649.05,649.05
I0000018601,O2026011600000186,P00307,美妆,1,134.71,134.71
I0000018701,O2025062600000187,P00450,美妆,2,403.36,806.72
I0000018702,O2025062600000187,P00026,食品,3,110.05,330.15
I0000018703,O2025062600000187,P00205,服饰,1,121.09,121.09
I0000018801,O2025050300000188,P00369,图书,1,133.49,133.49
I0000018901,O2026053100000189,P00227,图书,1,88.47,88.47
I0000019001,O2025022700000190,P00682,家居,1,770.54,770.54
I0000019002,O2025022700000190,P00745,食品,2,182.81,365.62
I0000019101,O2025061800000191,P00200,家居,3,158.17,474.51
I0000019102,O2025061800000191,P00734,数码,1,2004.54,2004.54
I0000019201,O2025051000000192,P00237,服饰,1,184.88,184.88
I0000019202,O2025051000000192,P00156,数码,1,5397.58,5397.58
I0000019301,O2025072900000193,P00085,数码,1,1790.96,1790.96
I0000019302,O2025072900000193,P00469,服饰,1,190.93,190.93
I0000019401,O2025072900000194,P00314,美妆,2,220.62,441.24
I0000019501,O2026040600000195,P00523,美妆,2,93.90,187.80
I0000019502,O2026040600000195,P00507,数码,1,3088.15,3088.15
I0000019601,O2025112600000196,P00233,服饰,1,162.37,162.37
I0000019701,O2025021400000197,P00175,家电,1,963.34,963.34
I0000019702,O2025021400000197,P00288,数码,3,4440.43,13321.29
I0000019801,O2025091600000198,P00221,图书,1,65.90,65.90
I0000019802,O2025091600000198,P00182,美妆,1,226.21,226.21
I0000019803,O2025091600000198,P00521,美妆,1,81.11,81.11
I0000019901,O2026052500000199,P00448,数码,1,1156.48,1156.48
I0000020001,O2026050100000200,P00537,服饰,1,59.15,59.15
I0000020101,O2025080900000201,P00445,家居,1,393.31,393.31
I0000020102,O2025080900000201,P00449,家电,1,693.59,693.59
I0000020201,O2026031700000202,P00493,美妆,1,314.19,314.19
I0000020202,O2026031700000202,P00671,家居,1,857.92,857.92
I0000020203,O2026031700000202,P00729,食品,2,135.17,270.34
I0000020204,O2026031700000202,P00269,服饰,1,236.57,236.57
I0000020205,O2026031700000202,P00729,食品,1,137.75,137.75
I0000020301,O2025013000000203,P00742,食品,1,69.02,69.02
I0000020401,O2025092900000204,P00166,运动,1,314.58,314.58
I0000020501,O2025070600000205,P00068,服饰,1,404.56,404.56
I0000020502,O2025070600000205,P00343,美妆,1,195.00,195.00
I0000020601,O2025110900000206,P00245,食品,2,47.68,95.36
I0000020602,O2025110900000206,P00150,数码,2,738.67,1477.34
I0000020603,O2025110900000206,P00625,数码,1,2880.00,2880.00
I0000020604,O2025110900000206,P00170,家居,1,276.42,276.42
I0000020701,O2025011800000207,P00115,美妆,1,404.09,404.09
I0000020801,O2026022500000208,P00760,服饰,1,478.30,478.30
I0000020802,O2026022500000208,P00470,运动,5,414.28,2071.40
I0000020901,O2025103100000209,P00670,美妆,1,181.42,181.42
I0000021001,O2025111500000210,P00636,家居,3,502.51,1507.53
I0000021002,O2025111500000210,P00022,图书,3,160.69,482.07
I0000021101,O2026010700000211,P00334,运动,1,149.41,149.41
I0000021201,O2025013000000212,P00021,美妆,1,239.07,239.07
I0000021202,O2025013000000212,P00702,服饰,1,161.72,161.72
I0000021203,O2025013000000212,P00323,服饰,3,193.96,581.88
I0000021301,O2025052200000213,P00002,美妆,1,144.98,144.98
I0000021302,O2025052200000213,P00077,服饰,1,150.51,150.51
I0000021303,O2025052200000213,P00069,家电,1,1646.56,1646.56
I0000021304,O2025052200000213,P00742,食品,2,69.14,138.28
I0000021305,O2025052200000213,P00509,母婴,1,176.38,176.38
I0000021401,O2025061300000214,P00147,美妆,1,252.41,252.41
I0000021501,O2026052500000215,P00103,图书,2,27.03,54.06
I0000021601,O2026030500000216,P00147,美妆,2,255.97,511.94
I0000021701,O2026041900000217,P00733,家电,1,1415.23,1415.23
I0000021801,O2026033100000218,P00353,美妆,1,98.32,98.32
I0000021802,O2026033100000218,P00481,服饰,1,241.98,241.98
I0000021803,O2026033100000218,P00178,服饰,1,187.13,187.13
I0000021804,O2026033100000218,P00738,食品,1,92.56,92.56
I0000021901,O2025061000000219,P00599,美妆,1,158.92,158.92
I0000021902,O2025061000000219,P00751,服饰,1,203.29,203.29
I0000021903,O2025061000000219,P00653,服饰,1,318.85,318.85
I0000021904,O2025061000000219,P00415,服饰,3,679.84,2039.52
I0000021905,O2025061000000219,P00090,服饰,1,150.99,150.99
I0000022001,O2026040100000220,P00569,数码,1,1029.01,1029.01
I0000022002,O2026040100000220,P00561,美妆,1,720.36,720.36
I0000022003,O2026040100000220,P00357,食品,1,283.94,283.94
I0000022004,O2026040100000220,P00503,家电,1,619.98,619.98
I0000022101,O2026021400000221,P00386,食品,1,94.02,94.02
I0000022102,O2026021400000221,P00295,母婴,1,624.76,624.76
I0000022103,O2026021400000221,P00545,家居,3,250.33,750.99
I0000022104,O2026021400000221,P00610,母婴,3,669.96,2009.88
I0000022201,O2025062300000222,P00003,数码,1,769.19,769.19
I0000022202,O2025062300000222,P00275,家居,2,1025.51,2051.02
I0000022203,O2025062300000222,P00775,家电,1,1894.23,1894.23
I0000022301,O2025091000000223,P00657,服饰,2,443.21,886.42
